Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,1,1,0,1
0.000768000,1,1,1,1,1,1,1,1
0.735437500,0,1,1,1,1,1,1,1
0.735440500,0,0,1,1,1,1,1,1
0.735444000,0,0,0,1,1,1,1,1
0.735447000,0,0,0,0,1,1,1,1
0.735450500,0,0,0,0,0,1,1,1
0.735453500,0,0,0,0,0,0,1,1
0.735457000,0,0,0,0,0,0,0,1
2.735833000,0,1,0,0,0,0,0,1
3.736062500,0,0,0,0,0,0,0,1
4.736290500,0,1,0,0,0,0,0,1
5.736515000,1,1,0,0,0,0,0,1
5.736520000,1,0,0,0,0,0,0,1
5.736530000,1,0,0,1,0,0,0,1
5.736535000,1,0,0,1,1,0,0,1
5.736539000,1,0,0,1,1,1,0,1
5.736543500,1,0,0,1,1,1,1,1
6.736741000,0,0,0,1,1,1,1,1
7.736980000,0,0,1,1,1,1,1,1
7.736985000,0,0,1,0,1,1,1,1
7.736990000,0,0,1,0,0,1,1,1
7.736998500,0,0,1,0,0,1,0,1
8.737205000,0,1,1,0,0,1,0,1
8.737209000,0,1,0,0,0,1,0,1
8.737223500,0,1,0,0,0,0,0,1
9.737433000,1,1,0,0,0,0,0,1
9.737438500,1,0,0,0,0,0,0,1
9.737448000,1,0,0,1,0,0,0,1
9.737453000,1,0,0,1,1,0,0,1
10.737664500,0,0,0,1,1,0,0,1
10.737689000,0,0,0,1,1,1,0,1
10.737693500,0,0,0,1,1,1,1,1
12.738129000,0,1,0,1,1,1,1,1
12.738138500,0,1,0,0,1,1,1,1
12.738143500,0,1,0,0,0,1,1,1
12.738148000,0,1,0,0,0,0,1,1
12.738152000,0,1,0,0,0,0,0,1
13.738360000,1,1,0,0,0,0,0,1
13.738365500,1,0,0,0,0,0,0,1
13.738375000,1,0,0,1,0,0,0,1
13.738380000,1,0,0,1,1,0,0,1
13.738384500,1,0,0,1,1,1,0,1
13.738388500,1,0,0,1,1,1,1,1
14.738587500,0,0,0,1,1,1,1,1
15.738829500,0,0,1,1,1,1,1,1
15.738835000,0,0,1,0,1,1,1,1
15.738840000,0,0,1,0,0,1,1,1
15.738848500,0,0,1,0,0,1,0,1
16.739058000,0,1,1,0,0,1,0,1
16.739062000,0,1,0,0,0,1,0,1
16.739076500,0,1,0,0,0,0,0,1
17.739306000,0,1,0,0,1,0,0,1
19.739757500,0,1,1,0,1,0,0,1
19.739762500,0,1,1,1,1,0,0,1
19.739767500,0,1,1,1,0,0,0,1
20.739988000,0,1,0,1,0,0,0,1
20.739993000,0,1,0,0,0,0,0,1
21.740220500,0,0,0,0,0,0,0,1
21.740235000,0,0,0,0,1,0,0,1
21.740239500,0,0,0,0,1,1,0,1
22.740451000,0,1,0,0,1,1,0,1
22.740465500,0,1,0,0,0,1,0,1
22.740469500,0,1,0,0,0,0,0,1
23.740678500,1,1,0,0,0,0,0,1
23.740683500,1,0,0,0,0,0,0,1
23.740693500,1,0,0,1,0,0,0,1
23.740698500,1,0,0,1,1,0,0,1
23.740702500,1,0,0,1,1,1,0,1
23.740707000,1,0,0,1,1,1,1,1
24.740908000,0,0,0,1,1,1,1,1
25.741152500,0,0,0,0,1,1,1,1
25.741157500,0,0,0,0,0,1,1,1
25.741161500,0,0,0,0,0,0,1,1
26.741384500,0,0,0,1,0,0,1,1
26.741390000,0,0,0,1,1,0,1,1
26.741394000,0,0,0,1,1,1,1,1
27.741603000,1,0,0,1,1,1,1,1
27.741627500,1,0,0,1,1,0,1,1
27.741631500,1,0,0,1,1,0,0,1
28.741833500,0,0,0,1,1,0,0,1
28.741858000,0,0,0,1,1,1,0,1
28.741862500,0,0,0,1,1,1,1,1
29.742075000,0,1,0,1,1,1,1,1
29.742084500,0,1,0,0,1,1,1,1
29.742093500,0,1,0,0,1,0,1,1
29.742098000,0,1,0,0,1,0,0,1
30.742303000,0,0,0,0,1,0,0,1
30.742312500,0,0,0,1,1,0,0,1
30.742322000,0,0,0,1,1,1,0,1
30.742326500,0,0,0,1,1,1,1,1
31.742538000,0,0,1,1,1,1,1,1
31.742543000,0,0,1,0,1,1,1,1
31.742548000,0,0,1,0,0,1,1,1
31.742556500,0,0,1,0,0,1,0,1
32.742764000,0,1,1,0,0,1,0,1
32.742768000,0,1,0,0,0,1,0,1
32.742782500,0,1,0,0,0,0,0,1
33.743009500,0,1,0,0,1,0,0,1
35.743461500,0,1,1,0,1,0,0,1
35.743467000,0,1,1,1,1,0,0,1
35.743472000,0,1,1,1,0,0,0,1
36.743692000,0,1,0,1,0,0,0,1
36.743697000,0,1,0,0,0,0,0,1
37.743926500,0,1,1,0,0,0,0,1
37.743945000,0,1,1,0,0,0,1,1
38.744156000,0,1,0,0,0,0,1,1
38.744174500,0,1,0,0,0,0,0,1
39.744387500,0,1,1,0,0,0,0,1
39.744393000,0,1,1,1,0,0,0,1
40.744617500,0,1,0,1,0,0,0,1
40.744623000,0,1,0,0,0,0,0,1
41.744843000,0,0,0,0,0,0,0,1
41.744853000,0,0,0,1,0,0,0,1
41.744858000,0,0,0,1,1,0,0,1
41.744862000,0,0,0,1,1,1,0,1
41.744866500,0,0,0,1,1,1,1,1
42.745070500,0,1,0,1,1,1,1,1
42.745080000,0,1,0,0,1,1,1,1
42.745085000,0,1,0,0,0,1,1,1
42.745089500,0,1,0,0,0,0,1,1
42.745093500,0,1,0,0,0,0,0,1
43.745300000,0,0,0,0,0,0,0,1
43.745314500,0,0,0,0,1,0,0,1
44.745530000,0,1,0,0,1,0,0,1
44.745544500,0,1,0,0,0,0,0,1
45.745760500,0,0,0,0,0,0,0,1
45.745781000,0,0,0,0,1,0,0,1
45.745785500,0,0,0,0,1,1,0,1
46.489600000,0,0,0,0,1,1,0,1
